true,predict
19014.0,12515.803
28226.0,19819.309
13945.0,-484.19308
32171.0,31186.445
27042.0,11984.405
33415.0,19273.479
27340.0,6946.8677
18610.0,3153.9558
12367.0,-1115.7714
31370.0,29979.287
11823.0,-5552.2617
19700.0,8164.1055
18411.0,1028.5228
23803.0,15463.804
22452.0,11396.084
24153.0,7632.6523
19742.0,7246.703
30868.0,19636.602
14018.0,-2557.9712
14442.0,770.69257
13156.0,748.1923
16072.0,9068.741
27139.0,11342.253
22277.0,5968.4956
15021.0,3092.7537
22600.0,8423.891
23727.0,10419.1045
26883.0,23768.053
15349.0,-468.72647
13877.0,-4983.4854
21232.0,3185.5781
17132.0,103.2523
19544.0,8130.775
26154.0,5690.582
25518.0,22303.729
22490.0,14688.845
13716.0,-498.0787
16101.0,7700.687
25218.0,13304.852
5721.0,-10695.718
11427.0,-6901.4375
21834.0,6976.543
25917.0,13065.575
24683.0,20086.656
16629.0,4943.6772
15480.0,2285.449
18929.0,9708.353
26418.0,14245.251
21273.0,17264.09
6124.0,-10679.396
20983.0,3461.564
45428.0,57631.973
26104.0,23270.016
26346.0,12260.61
32209.0,10986.38
28530.0,10109.247
23202.0,5173.65
26988.0,8438.853
62226.0,57204.086
